time	V(n001)	V(n003)
0.000000000000000e+00	-1.000000e+01	1.267545e+01
7.314285685059273e-10	-9.999971e+00	1.267545e+01
1.462857137011855e-09	-9.999942e+00	1.267545e+01
2.194285705517782e-09	-9.999913e+00	1.267545e+01
2.925714274023709e-09	-9.999883e+00	1.267545e+01
3.657142842529636e-09	-9.999854e+00	1.267545e+01
4.388571411035564e-09	-9.999824e+00	1.267545e+01
5.119999979541490e-09	-9.999795e+00	1.267545e+01
3.703107199947651e-04	4.812429e+00	1.267546e+01
3.713107199947652e-04	4.852429e+00	1.267545e+01
3.723107199947652e-04	4.892429e+00	1.267545e+01
3.733107199947652e-04	4.932429e+00	1.267546e+01
3.743107199947652e-04	4.972429e+00	1.267546e+01
3.753107199947653e-04	5.012429e+00	1.267546e+01
3.763107199947653e-04	5.052429e+00	1.267546e+01
3.773107199947653e-04	5.092429e+00	1.267546e+01
3.783107199947653e-04	5.132429e+00	1.252018e+01
3.787932891331355e-04	5.151731e+00	1.206677e+01
3.792898099292339e-04	5.171592e+00	1.094606e+01
3.798870932656423e-04	5.195484e+00	8.675071e+00
3.807710805443113e-04	5.230843e+00	3.780618e+00
3.816803171613530e-04	5.267213e+00	-2.591825e+00
3.824849617431182e-04	5.299398e+00	-8.640370e+00
3.829559608819305e-04	5.318238e+00	-1.173729e+01
3.832296276143576e-04	5.329185e+00	-1.291733e+01
3.833321054748523e-04	5.333284e+00	-1.307882e+01
3.833971182492583e-04	5.335885e+00	-1.309088e+01
3.836006519744280e-04	5.344026e+00	-1.310563e+01
3.839014864454037e-04	5.356060e+00	-1.311232e+01
4.994151127465403e-04	9.976604e+00	-1.311523e+01
5.000000000000000e-04	1.000000e+01	-1.311587e+01
5.000000000300000e-04	1.000000e+01	-1.311587e+01
5.000001498353955e-04	9.999994e+00	-1.311580e+01
5.000002996407910e-04	9.999988e+00	-1.311574e+01
5.000004494461865e-04	9.999982e+00	-1.311568e+01
5.000005992515820e-04	9.999976e+00	-1.311564e+01
5.000007490569775e-04	9.999970e+00	-1.311559e+01
5.000008988623730e-04	9.999964e+00	-1.311556e+01
5.000010486677685e-04	9.999958e+00	-1.311553e+01
5.000020972435369e-04	9.999916e+00	-1.311538e+01
5.000041943950738e-04	9.999832e+00	-1.311527e+01
5.000083886981475e-04	9.999664e+00	-1.311522e+01
5.000335545165900e-04	9.998658e+00	-1.311522e+01
8.740737416788880e-04	-4.962950e+00	-1.311521e+01
8.770737416788880e-04	-5.082950e+00	-1.310354e+01
8.780737416788881e-04	-5.122950e+00	-1.307068e+01
8.787276030609260e-04	-5.149104e+00	-1.298330e+01
8.791066689102156e-04	-5.164267e+00	-1.274958e+01
8.793826050053008e-04	-5.175304e+00	-1.229252e+01
8.796478212567875e-04	-5.185913e+00	-1.149360e+01
8.800909029484769e-04	-5.203636e+00	-9.492398e+00
8.806936249722290e-04	-5.227745e+00	-5.735332e+00
8.814041685830399e-04	-5.256167e+00	1.334547e-02
8.824041685830399e-04	-5.296167e+00	9.135126e+00
8.827961428427205e-04	-5.311846e+00	1.249460e+01
8.828101385359781e-04	-5.312406e+00	1.257296e+01
8.828381299224932e-04	-5.313525e+00	1.263634e+01
