time	V(vi)	V(vo)
0.000000000000000e+00	-1.000000e+00	-3.974191e-01
2.789865298398204e-08	3.333333e-01	-3.973276e-01
8.369595895194781e-08	1.000000e+00	-3.961587e-01
9.707031249999998e-06	1.000000e+00	-1.217479e-02
9.999999999999999e-06	2.061918e-01	-1.125520e-03
1.007609867510666e-05	-6.323368e-01	4.058663e-04
1.012034515998069e-05	-1.000000e+00	-3.805992e-05
1.014749471499203e-05	-1.000000e+00	-8.740044e-04
1.017583798312110e-05	-1.000000e+00	-1.947091e-03
1.034589759189545e-05	-1.000000e+00	-8.696893e-03
1.981174377914403e-05	-1.000000e+00	-3.868833e-01
2.000000000100000e-05	-6.087979e-01	-3.925252e-01
2.029296875100000e-05	5.000000e-01	-3.932380e-01
2.058593750100000e-05	1.000000e+00	-3.852378e-01
2.992187503200180e-05	1.000000e+00	-1.225542e-02
3.000000000000000e-05	3.602563e-01	-9.363126e-03
3.004399421065181e-05	-4.891989e-01	-8.497967e-03
3.008993113438268e-05	-1.000000e+00	-8.899346e-03
3.012804989487975e-05	-1.000000e+00	-1.003986e-02
3.017314839148357e-05	-1.000000e+00	-1.176726e-02
3.970703125100000e-05	-1.000000e+00	-3.926466e-01
4.000000000100000e-05	-5.000000e-01	-4.019494e-01
4.029296875100000e-05	5.000000e-01	-4.031849e-01
4.058593750100000e-05	1.000000e+00	-3.951847e-01
4.992187503200180e-05	1.000000e+00	-2.220231e-02
5.000000000000000e-05	4.587692e-01	-1.944518e-02
5.006622190257777e-05	-5.032378e-01	-1.844205e-02
5.013159167301181e-05	-1.000000e+00	-1.944176e-02
5.019535183555043e-05	-1.000000e+00	-2.168340e-02
5.970703125100000e-05	-1.000000e+00	-4.017055e-01
6.000000000100000e-05	-5.000000e-01	-4.110082e-01
6.029296875099999e-05	5.000000e-01	-4.122437e-01
6.058593750099998e-05	1.000000e+00	-4.042435e-01
6.992187503199440e-05	1.000000e+00	-3.126113e-02
6.999999999999999e-05	5.100858e-01	-2.858547e-02
7.008134164963281e-05	-5.065790e-01	-2.754914e-02
7.016057050892120e-05	-1.000000e+00	-2.898490e-02
7.024458941413317e-05	-1.000000e+00	-3.208451e-02
