Freq.	V(n001)
0.00000000000000e+00	9.33741545330214e-06,0.00000000000000e+00
1.00000000000000e+01	1.32063942108141e-05,-6.87916189040627e-08
2.00000000000000e+01	1.32039425891288e-05,-1.31918650785414e-07
3.00000000000000e+01	1.32050424977070e-05,-1.99606582281853e-07
4.00000000000000e+01	1.32106741590850e-05,-2.64756228396662e-07
5.00000000000000e+01	1.32069533687949e-05,-3.34629050564799e-07
6.00000000000000e+01	1.32076711528748e-05,-4.03530940375109e-07
7.00000000000000e+01	1.32124185037386e-05,-4.65244779608562e-07
8.00000000000000e+01	1.32125243592519e-05,-5.37048332021760e-07
9.00000000000000e+01	1.32136000642163e-05,-6.08257849153834e-07
1.00000000000000e+02	1.32171131658160e-05,-6.74267186118940e-07
1.10000000000000e+02	1.32191642760375e-05,-7.45378799860564e-07
1.20000000000000e+02	1.32204701840948e-05,-8.16510607240531e-07
1.30000000000000e+02	1.32244183221433e-05,-8.89085178730404e-07
1.40000000000000e+02	1.32284031130241e-05,-9.62802725452345e-07
1.50000000000000e+02	1.32228580833827e-05,-1.03554631173592e-06
1.60000000000000e+02	1.32290184091505e-05,-1.11305420957633e-06
1.70000000000000e+02	1.32323267949464e-05,-1.19588331102676e-06
1.80000000000000e+02	1.32317775664036e-05,-1.26430335528665e-06
1.90000000000000e+02	1.32328987540013e-05,-1.34751327241091e-06
2.00000000000000e+02	1.32570165850800e-05,-1.43466829877859e-06
2.10000000000000e+02	1.32318535501155e-05,-1.51723221660631e-06
2.20000000000000e+02	1.32306110127294e-05,-1.60583009393228e-06
2.30000000000000e+02	1.32195512126382e-05,-1.69733896208716e-06
2.40000000000000e+02	1.32188970175426e-05,-1.79156111981027e-06
2.50000000000000e+02	1.32345878418556e-05,-1.87470762189527e-06
2.60000000000000e+02	1.31666830621854e-05,-2.02291419561861e-06
2.70000000000000e+02	1.31562011574774e-05,-2.13514542605965e-06
2.80000000000000e+02	1.31052663094825e-05,-2.22175421168828e-06
2.90000000000000e+02	1.30893532987388e-05,-2.42930887339816e-06
3.00000000000000e+02	1.30359667347809e-05,-2.64164262818893e-06
3.10000000000000e+02	1.28090074523141e-05,-2.92769968973098e-06
3.20000000000000e+02	1.25332254636562e-05,-3.60149152603410e-06
3.30000000000000e+02	1.03231707864530e-05,-7.71791774767746e-06
3.40000000000000e+02	1.47293730815700e-05,2.55355488264482e-07
3.50000000000000e+02	1.38350369328002e-05,-1.44274466282669e-06
3.60000000000000e+02	1.36593390873869e-05,-1.77403755158657e-06
3.70000000000000e+02	1.34853856119289e-05,-2.20510102654036e-06
3.80000000000000e+02	1.34142678171411e-05,-2.41321970205033e-06
3.90000000000000e+02	1.33359430104862e-05,-2.46555214172542e-06
4.00000000000000e+02	1.32992924894217e-05,-2.64297958464949e-06
4.10000000000000e+02	1.32616682881129e-05,-2.75179278246827e-06
4.20000000000000e+02	1.32149370238296e-05,-2.89416124960932e-06
4.30000000000000e+02	1.31782583994936e-05,-2.99128826832946e-06
4.40000000000000e+02	1.31488958663572e-05,-3.10382548705449e-06
4.50000000000000e+02	1.31044203226591e-05,-3.18045276764440e-06
4.60000000000000e+02	1.30689808410733e-05,-3.27193219049524e-06
4.70000000000000e+02	1.30219001921197e-05,-3.34472315233034e-06
4.80000000000000e+02	1.29888424239223e-05,-3.43433018116646e-06
4.90000000000000e+02	1.29514191950939e-05,-3.51631572908628e-06
5.00000000000000e+02	1.29131499409189e-05,-3.59363616842947e-06
5.10000000000000e+02	1.28745120070026e-05,-3.66997016103839e-06
5.20000000000000e+02	1.28372195535870e-05,-3.74127228219822e-06
5.30000000000000e+02	1.27959922286958e-05,-3.81568505281066e-06
5.40000000000000e+02	1.27555390032817e-05,-3.88455412327502e-06
5.50000000000000e+02	1.27206157035319e-05,-3.95942454178439e-06
5.60000000000000e+02	1.26784132484689e-05,-4.02267496177032e-06
5.70000000000000e+02	1.26393063481205e-05,-4.08604627597248e-06
5.80000000000000e+02	1.25958049955829e-05,-4.15160623926572e-06
5.90000000000000e+02	1.25556929457748e-05,-4.21284305612728e-06
6.00000000000000e+02	1.25165837018824e-05,-4.27276608279994e-06
6.10000000000000e+02	1.24739978102245e-05,-4.33152411031037e-06
6.20000000000000e+02	1.24327454722189e-05,-4.38872768630653e-06
6.30000000000000e+02	1.23917830688856e-05,-4.44340372889933e-06
6.40000000000000e+02	1.23498885190988e-05,-4.49769618092438e-06
6.50000000000000e+02	1.23064730077109e-05,-4.55022180803297e-06
6.60000000000000e+02	1.22685736454709e-05,-4.60014690861253e-06
6.70000000000000e+02	1.22262299825174e-05,-4.64894630806707e-06
6.80000000000000e+02	1.21809413204313e-05,-4.69595269185793e-06
6.90000000000000e+02	1.21432605828503e-05,-4.74070689283682e-06
7.00000000000000e+02	1.21030993917381e-05,-4.78371125842413e-06
7.10000000000000e+02	1.20566681993033e-05,-4.82347443867074e-06
7.20000000000000e+02	1.20191683707137e-05,-4.86220822761450e-06
7.30000000000000e+02	1.19804162756825e-05,-4.89559446483028e-06
7.40000000000000e+02	1.19407991146536e-05,-4.93659735515278e-06
7.50000000000000e+02	1.19033889109457e-05,-4.96755712845524e-06
7.60000000000000e+02	1.18641544507084e-05,-4.99813137817697e-06
7.70000000000000e+02	1.18321132676968e-05,-5.02514534416958e-06
7.80000000000000e+02	1.17984399336522e-05,-5.05056635896188e-06
7.90000000000000e+02	1.17699339730117e-05,-5.07793642446495e-06
8.00000000000000e+02	1.17392970657462e-05,-5.09890042544630e-06
8.10000000000000e+02	1.17107336714818e-05,-5.11975153154096e-06
8.20000000000000e+02	1.16896643789989e-05,-5.13920349282008e-06
8.30000000000000e+02	1.16672751908430e-05,-5.15776509289125e-06
8.40000000000000e+02	1.16453003016443e-05,-5.18461700528146e-06
8.50000000000000e+02	1.16313947266766e-05,-5.19249519706175e-06
8.60000000000000e+02	1.16160910790021e-05,-5.20874003375612e-06
8.70000000000000e+02	1.16153987406697e-05,-5.22918636970296e-06
8.80000000000000e+02	1.16016674063400e-05,-5.24468428568037e-06
8.90000000000000e+02	1.15848557555114e-05,-5.26131465480026e-06
9.00000000000000e+02	1.16068909100116e-05,-5.28310254703111e-06
9.10000000000000e+02	1.16029011937023e-05,-5.30340948003110e-06
9.20000000000000e+02	1.15897085235398e-05,-5.29158998241644e-06
9.30000000000000e+02	1.16072440321071e-05,-5.35149704519972e-06
9.40000000000000e+02	1.16045750657774e-05,-5.37717808307012e-06
9.50000000000000e+02	1.16525903178560e-05,-5.45048113808511e-06
9.60000000000000e+02	1.16249863905331e-05,-5.50186879755223e-06
9.70000000000000e+02	1.14949630937684e-05,-5.80271070039411e-06
9.80000000000000e+02	1.17954762217504e-05,-5.29232433094284e-06
9.90000000000000e+02	1.17530759685377e-05,-5.43823702195397e-06
1.00000000000000e+03	4.39584599773653e-03,-6.89922845612037e-01
1.01000000000000e+03	1.17403675518639e-05,-5.56594157530991e-06
1.02000000000000e+03	1.16526689079175e-05,-5.63619470861300e-06
1.03000000000000e+03	1.22226851767980e-05,-5.60155774724560e-06
1.04000000000000e+03	1.19747607052961e-05,-5.69899625743981e-06
1.05000000000000e+03	1.19712018222110e-05,-5.74634251255940e-06
1.06000000000000e+03	1.19555580999860e-05,-5.84484381180280e-06
1.07000000000000e+03	1.19744522894343e-05,-5.90305853607180e-06
1.08000000000000e+03	1.20183692904826e-05,-5.92885806584442e-06
1.09000000000000e+03	1.20079360013090e-05,-6.03687124853182e-06
1.10000000000000e+03	1.20191054605346e-05,-6.10458638575981e-06
1.11000000000000e+03	1.20624665656598e-05,-6.20295125494167e-06
1.12000000000000e+03	1.20615803021061e-05,-6.26980182125802e-06
1.13000000000000e+03	1.20643504037210e-05,-6.35902740268853e-06
1.14000000000000e+03	1.20889615847932e-05,-6.41477498206756e-06
1.15000000000000e+03	1.20935152531718e-05,-6.50147949138084e-06
1.16000000000000e+03	1.20949754448926e-05,-6.59718147584473e-06
1.17000000000000e+03	1.21006116245189e-05,-6.67109935116777e-06
1.18000000000000e+03	1.21000931545079e-05,-6.75644555744883e-06
1.19000000000000e+03	1.21029643697320e-05,-6.84589771715933e-06
1.20000000000000e+03	1.20959869238054e-05,-6.93142494712132e-06
1.21000000000000e+03	1.20872579128438e-05,-7.01844921272195e-06
1.22000000000000e+03	1.20813817029246e-05,-7.10570768324998e-06
1.23000000000000e+03	1.20692862396214e-05,-7.19290943224866e-06
1.24000000000000e+03	1.20570328241393e-05,-7.27741302265620e-06
1.25000000000000e+03	1.20397461598526e-05,-7.36666379390408e-06
1.26000000000000e+03	1.20218454820638e-05,-7.45329410368954e-06
