time	V(a)	V(b)	V(vc)	V(vr)	V(vs)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.124999980258129e-13	9.647553e+00	1.855634e-03	1.574361e-07	5.914975e-05	1.094987e-04
3.871582011508129e-13	1.494355e+01	3.768453e-03	5.431203e-07	2.001835e-04	2.768549e-04
4.481933574008129e-13	1.494135e+01	4.020337e-03	6.289046e-07	2.313076e-04	3.074034e-04
4.634521464633129e-13	1.494077e+01	4.082402e-03	6.503471e-07	2.390891e-04	3.149687e-04
4.939697245883129e-13	1.493961e+01	4.206523e-03	6.932252e-07	2.546527e-04	3.300465e-04
5.550048808383129e-13	1.493730e+01	4.454842e-03	7.789567e-07	2.857798e-04	3.602491e-04
6.770751933383129e-13	1.493268e+01	4.952116e-03	9.503199e-07	3.480336e-04	4.208195e-04
9.212158183383129e-13	1.492344e+01	5.949919e-03	1.292675e-06	4.725404e-04	5.424416e-04
1.342470836066444e-12	1.490756e+01	7.680336e-03	1.882491e-06	6.873698e-04	7.531940e-04
1.751435491958555e-12	1.489228e+01	9.371675e-03	2.453891e-06	8.959284e-04	9.586267e-04
2.318500259201373e-12	1.487144e+01	1.173553e-02	3.244070e-06	1.185106e-03	1.244448e-03
2.992038093123294e-12	1.484734e+01	1.457175e-02	4.179091e-06	1.528517e-03	1.584857e-03
4.232131964761317e-12	1.480477e+01	1.986916e-02	5.890548e-06	2.159287e-03	2.213089e-03
6.217651804646844e-12	1.474136e+01	2.853917e-02	8.602165e-06	3.160811e-03	3.220907e-03
1.018869148441790e-11	1.462874e+01	4.641183e-02	1.392782e-05	5.144669e-03	5.239480e-03
1.634876631857535e-11	1.447988e+01	7.504306e-02	2.197602e-05	8.212312e-03	8.373398e-03
2.303115065054448e-11	1.435486e+01	1.070548e-01	3.034090e-05	1.154412e-02	1.177429e-02
3.639591931448274e-11	1.419017e+01	1.723054e-01	4.610225e-05	1.821437e-02	1.857615e-02
5.158494105678915e-11	1.408777e+01	2.464236e-01	6.265069e-05	2.579410e-02	2.630414e-02
7.223175558898137e-11	1.401969e+01	3.452510e-01	8.303302e-05	3.609268e-02	3.680298e-02
9.532908752353790e-11	1.397956e+01	4.518673e-01	1.035243e-04	4.760586e-02	4.853754e-02
1.230254814522110e-10	1.395919e+01	5.740045e-01	1.255801e-04	6.140052e-02	6.259093e-02
1.501346919454769e-10	1.395798e+01	6.877097e-01	1.450552e-04	7.489058e-02	7.632016e-02
1.816107226278774e-10	1.397256e+01	8.130469e-01	1.655339e-04	9.053808e-02	9.221214e-02
2.153900854768618e-10	1.400057e+01	9.406452e-01	1.854769e-04	1.073120e-01	1.091736e-01
2.565026308465511e-10	1.404584e+01	1.087653e+00	2.073869e-04	1.277011e-01	1.296174e-01
3.038834620095370e-10	1.410685e+01	1.247628e+00	2.300100e-04	1.511640e-01	1.528466e-01
3.597350870764505e-10	1.418478e+01	1.426103e+00	2.539970e-04	1.787804e-01	1.798742e-01
3.936702351376231e-10	1.423358e+01	1.528602e+00	2.671957e-04	1.955352e-01	1.961930e-01
4.331482490319880e-10	1.429035e+01	1.640563e+00	2.812023e-04	2.149985e-01	2.151769e-01
4.766628685520364e-10	1.435133e+01	1.754353e+00	2.953682e-04	2.364199e-01	2.361636e-01
5.381305096197337e-10	1.443338e+01	1.897974e+00	3.135786e-04	2.666264e-01	2.658724e-01
6.018166660362701e-10	1.451230e+01	2.026659e+00	3.306612e-04	2.978612e-01	2.966502e-01
6.699392832397446e-10	1.458729e+01	2.140687e+00	3.470588e-04	3.311935e-01	3.294981e-01
7.568913543736695e-10	1.466401e+01	2.256146e+00	3.657696e-04	3.736258e-01	3.712660e-01
8.562538791040287e-10	1.472155e+01	2.354325e+00	3.847090e-04	4.219614e-01	4.187548e-01
9.786065524123202e-10	1.475881e+01	2.436750e+00	4.051206e-04	4.812600e-01	4.768737e-01
1.113393252011602e-09	1.477775e+01	2.492186e+00	4.245558e-04	5.463019e-01	5.404370e-01
1.274748666265499e-09	1.478789e+01	2.526263e+00	4.443082e-04	6.237683e-01	6.158820e-01
1.465250346284174e-09	1.479407e+01	2.541426e+00	4.636339e-04	7.146699e-01	7.040431e-01
