time	V(vc)
0.000000000000000e+00	4.727911e+00
1.000000000000133e-06	4.726307e+00
2.999999999999965e-06	4.723098e+00
7.000000000000062e-06	4.716681e+00
1.500000000000026e-05	4.703845e+00
2.386424753741175e-05	4.689623e+00
3.346424753741155e-05	4.674222e+00
4.306424753741135e-05	4.658819e+00
5.266424753741115e-05	4.643417e+00
6.226424753741095e-05	4.628015e+00
7.186424753741075e-05	4.612613e+00
8.146424753741055e-05	4.597211e+00
9.106424753741035e-05	4.581810e+00
1.006642475374101e-04	4.566407e+00
1.102642475374099e-04	4.551005e+00
1.198642475374102e-04	4.535604e+00
1.294642475374104e-04	4.520202e+00
1.390642475374106e-04	4.504800e+00
1.486642475374109e-04	4.489398e+00
1.582642475374111e-04	4.473997e+00
1.678642475374113e-04	4.458595e+00
1.774642475374116e-04	4.443193e+00
1.870642475374118e-04	4.427792e+00
1.966642475374120e-04	4.412390e+00
2.062642475374123e-04	4.396989e+00
2.158642475374125e-04	4.381588e+00
2.254642475374127e-04	4.366186e+00
2.269632000200029e-04	4.363781e+00
2.299611049851832e-04	4.358972e+00
2.305673900896425e-04	4.357999e+00
2.317799602985613e-04	4.356054e+00
2.342051007163987e-04	4.352163e+00
2.365632000200031e-04	4.348380e+00
2.367990099503632e-04	4.348001e+00
2.372706298110843e-04	4.347245e+00
2.382138695325264e-04	4.345732e+00
2.401003489754098e-04	4.342705e+00
2.438733078611766e-04	4.336652e+00
2.514192256327110e-04	4.324546e+00
2.594337444719783e-04	4.311689e+00
2.690337444719785e-04	4.296288e+00
2.786337444719788e-04	4.280888e+00
2.865128421610246e-04	4.268248e+00
2.866628421610245e-04	4.268007e+00
2.869628421610245e-04	4.267526e+00
2.875628421610244e-04	4.266563e+00
2.887628421610242e-04	4.264638e+00
2.889002825228145e-04	4.264418e+00
2.890824525448045e-04	4.264126e+00
2.891356328444251e-04	4.264040e+00
2.891857415520320e-04	4.263960e+00
2.892226250454321e-04	4.263901e+00
2.892583719040303e-04	4.263844e+00
2.893298656212267e-04	4.263729e+00
2.893806353254373e-04	4.263648e+00
2.894210952047601e-04	4.263583e+00
2.894446578916338e-04	4.263545e+00
2.894565457286827e-04	4.263525e+00
2.894629620312146e-04	4.263515e+00
2.894685864731285e-04	4.263506e+00
2.894718293336381e-04	4.263501e+00
2.894755291102985e-04	4.263495e+00
2.894796031362233e-04	4.263489e+00
2.894858615067239e-04	4.263479e+00
2.894983782477244e-04	4.263459e+00
2.895116375912416e-04	4.263437e+00
2.895244469506291e-04	4.263417e+00
2.895553078025473e-04	4.263367e+00
2.895758622364184e-04	4.263334e+00
2.896017123908815e-04	4.263293e+00
2.896347126380163e-04	4.263240e+00
2.896806818456711e-04	4.263166e+00
2.897358188597003e-04	4.263078e+00
2.897988723134866e-04	4.262976e+00
2.898679163864481e-04	4.262866e+00
2.899609374002687e-04	4.262716e+00
2.901469794279097e-04	4.262418e+00
2.901771996322148e-04	4.262369e+00
2.902376400408259e-04	4.262272e+00
2.903585208580473e-04	4.262078e+00
2.903622983835854e-04	4.262073e+00
2.903632427649701e-04	4.262071e+00
2.903634788603165e-04	4.262071e+00
2.903639510510084e-04	4.262070e+00
2.903640690986816e-04	4.262070e+00
2.903643051940280e-04	4.262069e+00
2.903643414369317e-04	4.262069e+00
2.903644139227381e-04	4.262069e+00
2.903645588943518e-04	4.262069e+00
2.903648488375792e-04	4.262068e+00
2.903654287240340e-04	4.262067e+00
2.903665884969428e-04	4.262065e+00
2.903689080427613e-04	4.262062e+00
2.903735471343973e-04	4.262054e+00
2.903828253176693e-04	4.262040e+00
2.904013816842142e-04	4.262010e+00
2.904384944173032e-04	4.261950e+00
2.905127198834811e-04	4.261831e+00
2.906254405047070e-04	4.261650e+00
2.908187456748088e-04	4.261340e+00
2.911983519342447e-04	4.260732e+00
2.916724138381228e-04	4.259972e+00
2.917129817748090e-04	4.259907e+00
2.917670723570566e-04	4.259820e+00
2.918853955057236e-04	4.259631e+00
2.919259634424098e-04	4.259566e+00
2.919508268260928e-04	4.259526e+00
2.919756902097758e-04	4.259486e+00
2.920005535934588e-04	4.259446e+00
2.920254169771418e-04	4.259406e+00
2.920502803608248e-04	4.259367e+00
2.920751437445078e-04	4.259327e+00
2.921000071281908e-04	4.259287e+00
2.921029747323636e-04	4.259283e+00
2.921040521541231e-04	4.259281e+00
2.921050882449291e-04	4.259279e+00
2.921055993804146e-04	4.259279e+00
2.921062710329156e-04	4.259278e+00
2.921070189825241e-04	4.259276e+00
2.921078917012695e-04	4.259274e+00
2.921084009138539e-04	4.259274e+00
2.921086551009549e-04	4.259273e+00
2.921088106677436e-04	4.259273e+00
2.921089613020099e-04	4.259272e+00
2.921091344559620e-04	4.259272e+00
2.921093222804168e-04	4.259272e+00
2.921096979293263e-04	4.259271e+00
2.921104416896071e-04	4.259269e+00
2.921117295605724e-04	4.259266e+00
2.921134924373093e-04	4.259262e+00
2.921168354940687e-04	4.259254e+00
2.921194166929145e-04	4.259248e+00
2.921212968640054e-04	4.259244e+00
2.921235988748382e-04	4.259239e+00
2.921247365592085e-04	4.259237e+00
2.921266714979776e-04	4.259233e+00
2.921288616321784e-04	4.259230e+00
2.921313529079118e-04	4.259225e+00
2.921339222355383e-04	4.259222e+00
2.921373282419571e-04	4.259217e+00
2.921405445251760e-04	4.259213e+00
2.921446863409709e-04	4.259208e+00
2.921484436590803e-04	4.259204e+00
2.921525415800152e-04	4.259200e+00
2.921569140350781e-04	4.259196e+00
2.921613506927496e-04	4.259192e+00
2.921661433679169e-04	4.259189e+00
2.921690432469352e-04	4.259187e+00
2.921728013106219e-04	4.259185e+00
2.921763325432225e-04	4.259182e+00
2.921805670212832e-04	4.259179e+00
2.921868621502751e-04	4.259173e+00
2.921937140592848e-04	4.259168e+00
2.922008226247546e-04	4.259163e+00
2.922057278538829e-04	4.259161e+00
2.922108837071316e-04	4.259161e+00
2.922163851093377e-04	4.259161e+00
2.922246971731796e-04	4.259162e+00
2.922328980961733e-04	4.259162e+00
2.922449272063899e-04	4.259164e+00
2.922666811297305e-04	4.259165e+00
2.922944230144982e-04	4.259168e+00
2.923357342175018e-04	4.259171e+00
2.923767430917722e-04	4.259174e+00
2.924172721247170e-04	4.259177e+00
2.924612192867766e-04	4.259182e+00
2.925219942865203e-04	4.259191e+00
2.925862251596189e-04	4.259203e+00
2.926703198699618e-04	4.259225e+00
2.928385092906475e-04	4.259286e+00
2.931534260763534e-04	4.259441e+00
2.933589538634458e-04	4.259568e+00
2.935283660589617e-04	4.259690e+00
2.935938353150641e-04	4.259742e+00
2.936585885499744e-04	4.259797e+00
2.936737154797249e-04	4.259810e+00
2.936886251263897e-04	4.259823e+00
2.937142270680068e-04	4.259847e+00
2.937382744114619e-04	4.259870e+00
2.937718283210094e-04	4.259902e+00
2.938183067957389e-04	4.259950e+00
2.938824658345533e-04	4.260020e+00
2.939874997296582e-04	4.260145e+00
2.941702559483479e-04	4.260388e+00
2.944783571519221e-04	4.260845e+00
2.948073703103482e-04	4.261373e+00
2.952245654425632e-04	4.262066e+00
2.955054807020304e-04	4.262537e+00
2.957588651996165e-04	4.262962e+00
2.960435349637414e-04	4.263439e+00
2.964985479983807e-04	4.264199e+00
2.974085740676592e-04	4.265719e+00
2.974127053433696e-04	4.265726e+00
2.974209678947904e-04	4.265739e+00
2.974278648283364e-04	4.265751e+00
