time	V(vo_cuadrada)
0.000000000000000e+00	-1.249664e+00
4.979428571427797e-07	-1.249664e+00
9.958857142855595e-07	-1.249664e+00
1.493828571428339e-06	-1.249664e+00
1.991771428571119e-06	-1.249664e+00
2.489714285713899e-06	-1.249664e+00
2.987657142856678e-06	-1.249664e+00
3.485599999999457e-06	-1.249664e+00
4.089245714285007e-06	-1.249664e+00
4.692891428570558e-06	-1.249664e+00
5.296537142856108e-06	-1.249664e+00
5.900182857141659e-06	-1.249664e+00
6.503828571427209e-06	-1.249664e+00
7.107474285712760e-06	-1.249664e+00
7.711119999998309e-06	-1.249664e+00
8.066205714283927e-06	-1.249664e+00
8.421291428569544e-06	-1.249664e+00
8.776377142855163e-06	-1.249664e+00
9.131462857140781e-06	-1.249664e+00
9.486548571426398e-06	-1.249664e+00
9.841634285712016e-06	-1.249664e+00
1.019671999999763e-05	-1.249664e+00
1.069383999999750e-05	-1.249664e+00
1.094239999999743e-05	-1.249664e+00
1.119095999999736e-05	-1.249664e+00
1.143951999999730e-05	-1.249664e+00
1.168807999999723e-05	-1.249664e+00
1.193663999999716e-05	-1.249664e+00
1.218519999999709e-05	-1.249664e+00
1.243375999999703e-05	-1.249664e+00
1.268231999999696e-05	-1.249664e+00
1.281840047991090e-05	-1.249664e+00
1.287858323385967e-05	-1.249664e+00
1.290300092232632e-05	-1.249664e+00
1.291468876196862e-05	-1.249664e+00
1.293077644454362e-05	-1.249664e+00
1.296295180969274e-05	-1.249664e+00
1.302730253999185e-05	-1.249664e+00
1.315447848204872e-05	-1.249664e+00
1.320067197736838e-05	-1.249651e+00
1.322821558148203e-05	-1.249613e+00
1.323654208454025e-05	-1.249577e+00
1.324534114888545e-05	-1.249504e+00
1.325093763971611e-05	-1.249429e+00
1.325727498256192e-05	-1.249297e+00
1.326405040532035e-05	-1.249087e+00
1.327256176322615e-05	-1.248659e+00
1.328720709779622e-05	-1.247413e+00
1.330619319914877e-05	-1.244705e+00
1.332816431501120e-05	-1.239699e+00
1.335481029681156e-05	-1.230711e+00
1.338974380256028e-05	-1.214819e+00
1.343501437852095e-05	-1.189764e+00
1.348443855456530e-05	-1.159519e+00
1.354485963394811e-05	-1.121507e+00
1.361242081743784e-05	-1.079568e+00
1.369522208311512e-05	-1.029594e+00
1.385099294531639e-05	-9.390430e-01
1.409955294531633e-05	-7.991332e-01
1.410343669531675e-05	-7.970073e-01
1.412164177344230e-05	-7.872323e-01
1.412212724219257e-05	-7.869723e-01
1.412309817969224e-05	-7.864524e-01
1.412364672064102e-05	-7.861586e-01
1.412421988323826e-05	-7.858518e-01
1.412581272202101e-05	-7.849994e-01
1.412793650706554e-05	-7.838635e-01
1.413218407715459e-05	-7.815942e-01
1.414067921733184e-05	-7.770647e-01
1.415766949768634e-05	-7.680429e-01
1.419165005839620e-05	-7.501476e-01
1.425961117981593e-05	-7.148873e-01
1.436989320101768e-05	-6.591011e-01
1.454674640720931e-05	-5.730824e-01
1.479530640720924e-05	-4.582127e-01
1.504386640720917e-05	-3.500767e-01
1.529242640720910e-05	-2.487873e-01
1.554098640720904e-05	-1.539112e-01
1.578954640720897e-05	-6.366033e-02
1.580119765720936e-05	-5.962170e-02
1.581043184789527e-05	-5.644541e-02
1.581966603858118e-05	-5.327659e-02
1.582890022926710e-05	-5.011524e-02
1.583813441995301e-05	-4.696135e-02
1.584736861063892e-05	-4.381493e-02
1.585660280132483e-05	-4.067598e-02
1.586583699201075e-05	-3.754449e-02
1.586734453433609e-05	-3.703413e-02
1.586797754977217e-05	-3.681987e-02
1.586858928061870e-05	-3.661286e-02
1.586893652619562e-05	-3.649538e-02
1.586939225236075e-05	-3.634120e-02
1.587019000731139e-05	-3.607136e-02
1.587105361647127e-05	-3.577931e-02
1.587185981173807e-05	-3.550672e-02
1.587235515338598e-05	-3.533927e-02
1.587259576278990e-05	-3.525794e-02
1.587272464472714e-05	-3.521437e-02
1.587279974827639e-05	-3.518899e-02
1.587287270973705e-05	-3.516433e-02
1.587296370548184e-05	-3.513357e-02
1.587309520668847e-05	-3.508913e-02
1.587323508789752e-05	-3.504186e-02
1.587344465117657e-05	-3.497104e-02
1.587386377773555e-05	-3.482942e-02
1.587464368888424e-05	-3.456593e-02
1.587569261754605e-05	-3.421165e-02
1.587763506412029e-05	-3.355589e-02
1.588068130899817e-05	-3.252807e-02
1.588342080149387e-05	-3.160435e-02
1.588538192937548e-05	-3.094351e-02
1.588770990315885e-05	-3.015949e-02
1.588897495020426e-05	-2.973366e-02
1.589080459158624e-05	-2.911808e-02
1.589306470094805e-05	-2.835806e-02
1.589547151803917e-05	-2.754919e-02
1.589817963348027e-05	-2.663970e-02
1.590132708226537e-05	-2.558348e-02
1.590480153590510e-05	-2.441853e-02
1.590861997740212e-05	-2.313946e-02
1.591268835137750e-05	-2.177808e-02
1.591703581902901e-05	-2.032490e-02
1.592155296050932e-05	-1.881677e-02
1.592632370907895e-05	-1.722591e-02
1.593133873223178e-05	-1.555550e-02
1.593444023037342e-05	-1.452357e-02
1.593813369119186e-05	-1.329596e-02
1.594214575447762e-05	-1.196378e-02
1.594656228417080e-05	-1.049913e-02
1.595359402655101e-05	-8.170455e-03
1.595944742087147e-05	-6.235074e-03
1.596634797894261e-05	-3.957001e-03
1.597031068848245e-05	-2.650725e-03
1.597612379917578e-05	-7.373143e-04
1.598202992022461e-05	1.203747e-03
1.598959521790545e-05	3.685484e-03
1.599859592009509e-05	6.631340e-03
1.601089894016482e-05	1.064384e-02
1.603550498030341e-05	1.862620e-02
1.607013383353624e-05	2.977823e-02
1.610891661913121e-05	4.214976e-02
1.615438098761818e-05	5.649574e-02
1.619934090202682e-05	7.051794e-02
1.624486063243630e-05	8.453099e-02
1.630104538509047e-05	1.015782e-01
1.636388422123023e-05	1.202968e-01
1.646414867039273e-05	1.493332e-01
1.666467756871685e-05	2.051322e-01
1.691323756871678e-05	2.708157e-01
1.716179756871671e-05	3.330061e-01
1.729845520216915e-05	3.656701e-01
1.735650443592755e-05	3.790936e-01
1.741363770655074e-05	3.920753e-01
1.742933854598054e-05	3.956089e-01
1.744487636755072e-05	3.990798e-01
1.747207972068072e-05	4.051238e-01
1.749783514354546e-05	4.108078e-01
1.753440742962437e-05	4.188062e-01
1.758614476349372e-05	4.299866e-01
1.765922310067482e-05	4.454942e-01
1.778259121261276e-05	4.709007e-01
1.800522957761362e-05	5.148358e-01
1.825378957761355e-05	5.612935e-01
1.850234957761349e-05	6.049123e-01
1.875090957761342e-05	6.457809e-01
1.899946957761335e-05	6.840657e-01
1.924802957761328e-05	7.199265e-01
1.949658957761322e-05	7.535156e-01
1.974514957761315e-05	7.849767e-01
1.999370957761308e-05	8.144446e-01
2.024226957761301e-05	8.420455e-01
2.049082957761295e-05	8.678977e-01
2.073938957761288e-05	8.921120e-01
2.098794957761281e-05	9.149551e-01
2.112161993982759e-05	9.267045e-01
2.115268993982747e-05	9.293545e-01
2.116940436624245e-05	9.307622e-01
2.119996124795402e-05	9.333206e-01
2.121223820466395e-05	9.343436e-01
2.121530744384099e-05	9.345986e-01
2.122144592219596e-05	9.351080e-01
2.122206882989100e-05	9.351597e-01
2.122331464528109e-05	9.352629e-01
2.122518786536274e-05	9.354181e-01
2.122692958857197e-05	9.355624e-01
2.122849873669331e-05	9.356923e-01
2.123163703293598e-05	9.359518e-01
2.123791362542218e-05	9.364700e-01
2.125046681039373e-05	9.375033e-01
2.127557318033681e-05	9.395573e-01
2.132578592022299e-05	9.436149e-01
2.142621139999534e-05	9.515337e-01
2.162706235954090e-05	9.667659e-01
2.187562235954083e-05	9.846597e-01
2.212418235954076e-05	1.001476e+00
2.237274235954070e-05	1.017338e+00
2.250787653834338e-05	1.025604e+00
2.250870788297540e-05	1.025654e+00
2.251037057223945e-05	1.025752e+00
2.251182071972418e-05	1.025838e+00
2.251313746393351e-05	1.025916e+00
2.251451276719107e-05	1.025997e+00
2.251625959528471e-05	1.026100e+00
2.251801526521619e-05	1.026203e+00
2.252014238838997e-05	1.026329e+00
2.252245313123704e-05	1.026465e+00
2.252599919955016e-05	1.026673e+00
2.252994331398452e-05	1.026905e+00
2.253519597559574e-05	1.027213e+00
2.254335163549663e-05	1.027691e+00
2.255966295529929e-05	1.028642e+00
2.259228559490373e-05	1.030529e+00
2.265753087411261e-05	1.034255e+00
2.274445396105267e-05	1.039116e+00
2.287736203252389e-05	1.046318e+00
2.307460564642330e-05	1.056553e+00
2.332316564642323e-05	1.068772e+00
2.357172564642317e-05	1.080258e+00
2.382028564642310e-05	1.091017e+00
2.406884564642303e-05	1.101093e+00
2.431740564642296e-05	1.110531e+00
2.456596564642290e-05	1.119371e+00
2.481452564642283e-05	1.127650e+00
2.506308564642276e-05	1.135405e+00
2.531164564642269e-05	1.142668e+00
2.556020564642263e-05	1.149471e+00
2.580876564642256e-05	1.155843e+00
2.605732564642249e-05	1.161811e+00
2.630588564642242e-05	1.167401e+00
2.655444564642236e-05	1.172637e+00
2.680300564642229e-05	1.177540e+00
2.705156564642222e-05	1.182133e+00
2.730012564642215e-05	1.186435e+00
2.754868564642209e-05	1.190464e+00
2.779724564642202e-05	1.194238e+00
2.804580564642195e-05	1.197773e+00
2.829436564642188e-05	1.201083e+00
2.854292564642182e-05	1.204184e+00
2.904004564642168e-05	1.209808e+00
2.953716564642155e-05	1.214742e+00
3.003428564642141e-05	1.219071e+00
3.053140564642128e-05	1.222868e+00
3.102852564642114e-05	1.226199e+00
3.152564564642100e-05	1.229121e+00
3.202276564642087e-05	1.231684e+00
3.251988564642073e-05	1.233933e+00
3.301700564642060e-05	1.235906e+00
3.351412564642046e-05	1.237636e+00
3.401124564642033e-05	1.239155e+00
3.450836564642019e-05	1.240486e+00
3.500548564642006e-05	1.241655e+00
3.550260564641992e-05	1.242680e+00
3.599972564641979e-05	1.243579e+00
3.649684564641965e-05	1.244368e+00
3.699396564641952e-05	1.245059e+00
3.749108564641938e-05	1.245667e+00
3.798820564641925e-05	1.246199e+00
3.848532564641911e-05	1.246666e+00
3.898244564641898e-05	1.247076e+00
3.947956564641884e-05	1.247435e+00
3.997668564641871e-05	1.247751e+00
4.047380564641857e-05	1.248027e+00
4.097092564641844e-05	1.248270e+00
4.146804564641830e-05	1.248483e+00
4.196516564641817e-05	1.248670e+00
4.246228564641803e-05	1.248833e+00
4.295940564641790e-05	1.248977e+00
4.345652564641776e-05	1.249103e+00
4.395364564641763e-05	1.249214e+00
4.445076564641749e-05	1.249311e+00
4.494788564641736e-05	1.249396e+00
4.544500564641722e-05	1.249471e+00
4.594212564641709e-05	1.249536e+00
4.643924564641695e-05	1.249594e+00
4.693636564641682e-05	1.249644e+00
4.743348564641668e-05	1.249688e+00
4.793060564641655e-05	1.249727e+00
4.842772564641641e-05	1.249761e+00
4.892484564641628e-05	1.249791e+00
4.942196564641614e-05	1.249817e+00
4.991908564641601e-05	1.249840e+00
5.041620564641587e-05	1.249860e+00
5.091332564641574e-05	1.249878e+00
5.141044564641560e-05	1.249894e+00
5.190756564641547e-05	1.249907e+00
5.240468564641533e-05	1.249919e+00
5.290180564641520e-05	1.249929e+00
5.339892564641506e-05	1.249939e+00
5.389604564641493e-05	1.249947e+00
5.439316564641479e-05	1.249954e+00
5.489028564641465e-05	1.249960e+00
5.538740564641452e-05	1.249965e+00
5.588452564641438e-05	1.249970e+00
5.638164564641425e-05	1.249974e+00
5.687876564641411e-05	1.249978e+00
5.737588564641398e-05	1.249981e+00
5.787300564641384e-05	1.249984e+00
5.837012564641371e-05	1.249987e+00
5.886724564641357e-05	1.249989e+00
5.936436564641344e-05	1.249991e+00
5.986148564641330e-05	1.249992e+00
6.035860564641317e-05	1.249994e+00
6.110428564641297e-05	1.249996e+00
6.184996564641276e-05	1.249997e+00
6.209852564641270e-05	1.249998e+00
6.213999999999959e-05	1.249998e+00
